quantity,value
"coarse, lambda<=8",-0.00026261583422263683
"fine, lambda<=8",-0.0002626160267043723
"tail fit, lambda>8",-1.104294532148068e-09
C_dyn total,-0.00026261713099890447
massless-limit residue 1/(240 pi^2),0.00042217159850974073
C_K,0.00015955446751083626
Jiang-Jiang 2 q_J/9,0.00015951555555555555
relative_difference,0.00024393831150319338
q_K,0.0007179951037987631
q_J,0.00071782
