channel,k,l,mu,Re beta_H,Im beta_H,exact |beta_H|^2,v4 rounded n_inf,"Im W[v,v*]"
A,2.0,0,2.0,0.3230776185128337,0.16158410430975897,0.13048857034951114,0.13054,0.9999999996868334
B,2.0,1,2.0,0.04232690692410522,-0.037808511354673204,0.003221050580618319,0.00323,0.9999999995273426
C,2.0,2,2.0,0.00036064357293423836,-0.004961028923313817,2.4741871764655024e-05,2e-05,0.9999999995687696
D,2.0,0,0.0,0.30641306110741473,0.24413758929760254,0.15349212652526115,0.15362,0.9999999997181265
