r_eps,Re beta_H,Im beta_H,|beta_H|^2,"Im W[v,v*]"
1e-06,0.00036110226475663797,-0.004969057746264948,2.4821929731328057e-05,0.9999999997866482
1e-08,0.0003606317509076581,-0.004961175868216272,2.474332125513421e-05,0.9999999997886826
1e-10,0.0003606435754026145,-0.0049610289220741455,2.474187175413534e-05,0.9999999997905129
1e-12,0.00036064395734851086,-0.00496102657104577,2.4741848702594147e-05,0.9999999997948492
