r0,preparation,Re beta_H,Im beta_H,|beta_H|^2
0.99,leading WKB only,0.04372752188536316,0.03974077906251553,0.003491425690730587
0.99,WKB+amplitude derivative,-0.008390197225263102,0.007249278888610406,0.00012294745388366518
0.999,leading WKB only,0.02710160829624434,-0.06065638457418425,0.004413694161854397
0.999,WKB+amplitude derivative,0.00036064357293423836,-0.004961028923313817,2.4741871764655024e-05
0.9999,leading WKB only,-0.050450093176114826,-0.027580890355032927,0.003305917414255016
0.9999,WKB+amplitude derivative,0.008267759204537319,-0.0060621165204172685,0.00010510509897132754
