mu,exact-mode difference,ordinary counterterm part,mu^4 residue part (X=8),renormalized layer difference,difference from residue
0.1,-0.00031289880459966205,0.0002885640348061774,0.0004219852078298286,0.00039765043803634395,-2.433476979348464e-05
0.05,-8.23242145475933e-05,7.214100870154435e-05,0.0004219852078298286,0.00041180200198377963,-1.0183205846048954e-05
0.025,-2.0310170419775067e-05,1.803525217538609e-05,0.0004219852078298286,0.0004197102895854396,-2.2749182443889716e-06
0.0125,-4.311754322274235e-06,4.508813043846522e-06,0.0004219852078298286,0.00042218226655140086,1.9705872157226717e-07
0.00625,-7.192862317464805e-07,1.1272032609616305e-06,0.0004219852078298286,0.00042239312485904375,4.0791702921516224e-07
