mu,D_IR exact difference,massive exact IR,massless exact IR,D_IR/mu^3,D_IR/[mu^3(1+ln^2 mu)]
0.2,-0.0012022255134092642,0.030958815999537124,0.032161041512946395,-0.15027818917615798,-0.04185683403997802
0.1,-0.00031290958387278735,0.007541022704575159,0.007853932288447947,-0.3129095838727873,-0.04965322802545808
0.05,-8.222719809631177e-05,0.0017391426459647849,0.001821369844061097,-0.657817584770494,-0.06595051360878752
0.025,-2.032975158394718e-05,0.000363367776628279,0.00038369752821222625,-1.3011041013726192,-0.08906894155113268
0.0125,-4.282720113294785e-06,6.829171194758726e-05,7.257443206088203e-05,-2.1927526980069296,-0.1085405212750832
